{'it': 23, 'wall': 150.3, 'records': 810, 'policy_loss': 3.8004, 'value_loss': 0.025, 'ep_len': 38.6, 'cache_hit_rate': 0.2563, 'cache_lookups': 38553, 'infer_rows': 28670, 'infer_calls': 4576, 'fresh_rows': 28670, 'hit_rows': 9880}
{'it': 24, 'wall': 155.3, 'records': 773, 'policy_loss': 3.776, 'value_loss': 0.0016, 'ep_len': 42.9, 'cache_hit_rate': 0.2799, 'cache_lookups': 34425, 'infer_rows': 24790, 'infer_calls': 4047, 'fresh_rows': 24790, 'hit_rows': 9634}
{'it': 25, 'wall': 161.4, 'records': 802, 'policy_loss': 3.7709, 'value_loss': 0.0025, 'ep_len': 42.2, 'cache_hit_rate': 0.2555, 'cache_lookups': 40306, 'infer_rows': 30004, 'infer_calls': 4664, 'fresh_rows': 30004, 'hit_rows': 10300}
{'it': 26, 'wall': 167.9, 'records': 794, 'policy_loss': 3.731, 'value_loss': 0.0015, 'ep_len': 36.1, 'cache_hit_rate': 0.2653, 'cache_lookups': 35993, 'infer_rows': 26442, 'infer_calls': 4234, 'fresh_rows': 26442, 'hit_rows': 9550}
{'it': 27, 'wall': 173.7, 'records': 786, 'policy_loss': 3.8566, 'value_loss': 0.0212, 'ep_len': 41.4, 'cache_hit_rate': 0.2588, 'cache_lookups': 36781, 'infer_rows': 27262, 'infer_calls': 4285, 'fresh_rows': 27262, 'hit_rows': 9519}
{'it': 28, 'wall': 180.1, 'records': 768, 'policy_loss': 3.6921, 'value_loss': 0.0016, 'ep_len': 40.4, 'cache_hit_rate': 0.2467, 'cache_lookups': 40382, 'infer_rows': 30412, 'infer_calls': 4680, 'fresh_rows': 30412, 'hit_rows': 9962}
{'it': 29, 'wall': 185.1, 'records': 797, 'policy_loss': 3.9296, 'value_loss': 0.0015, 'ep_len': 36.2, 'cache_hit_rate': 0.2531, 'cache_lookups': 33014, 'infer_rows': 24658, 'infer_calls': 3917, 'fresh_rows': 24658, 'hit_rows': 8355}
{'it': 30, 'wall': 191.6, 'records': 787, 'policy_loss': 3.7987, 'value_loss': 0.0011, 'ep_len': 41.4, 'cache_hit_rate': 0.2378, 'cache_lookups': 41132, 'infer_rows': 31335, 'infer_calls': 4795, 'fresh_rows': 31335, 'hit_rows': 9780}
{'it': 31, 'wall': 197.1, 'records': 770, 'policy_loss': 3.6816, 'value_loss': 0.0012, 'ep_len': 40.5, 'cache_hit_rate': 0.2301, 'cache_lookups': 37682, 'infer_rows': 29010, 'infer_calls': 4397, 'fresh_rows': 29010, 'hit_rows': 8671}
{'it': 32, 'wall': 202.1, 'records': 802, 'policy_loss': 3.6473, 'value_loss': 0.0026, 'ep_len': 42.2, 'cache_hit_rate': 0.2752, 'cache_lookups': 35710, 'infer_rows': 25881, 'infer_calls': 4116, 'fresh_rows': 25881, 'hit_rows': 9829}
{'it': 33, 'wall': 207.1, 'records': 799, 'policy_loss': 3.5531, 'value_loss': 0.0021, 'ep_len': 33.3, 'cache_hit_rate': 0.3029, 'cache_lookups': 35588, 'infer_rows': 24809, 'infer_calls': 4136, 'fresh_rows': 24809, 'hit_rows': 10778}
{'it': 34, 'wall': 212.5, 'records': 784, 'policy_loss': 3.6283, 'value_loss': 0.0025, 'ep_len': 35.6, 'cache_hit_rate': 0.2533, 'cache_lookups': 37175, 'infer_rows': 27748, 'infer_calls': 4401, 'fresh_rows': 27748, 'hit_rows': 9418}
{'it': 35, 'wall': 218.1, 'records': 770, 'policy_loss': 3.7849, 'value_loss': 0.0028, 'ep_len': 42.8, 'cache_hit_rate': 0.2507, 'cache_lookups': 39201, 'infer_rows': 29367, 'infer_calls': 4568, 'fresh_rows': 29367, 'hit_rows': 9829}
{'it': 36, 'wall': 224.1, 'records': 780, 'policy_loss': 4.1252, 'value_loss': 0.0038, 'ep_len': 52.0, 'cache_hit_rate': 0.2496, 'cache_lookups': 40667, 'infer_rows': 30516, 'infer_calls': 4735, 'fresh_rows': 30516, 'hit_rows': 10151}
{'it': 37, 'wall': 229.1, 'records': 789, 'policy_loss': 3.9537, 'value_loss': 0.0028, 'ep_len': 43.8, 'cache_hit_rate': 0.2579, 'cache_lookups': 35198, 'infer_rows': 26120, 'infer_calls': 4132, 'fresh_rows': 26120, 'hit_rows': 9077}
{'it': 38, 'wall': 233.9, 'records': 782, 'policy_loss': 3.7937, 'value_loss': 0.0028, 'ep_len': 39.1, 'cache_hit_rate': 0.2756, 'cache_lookups': 34463, 'infer_rows': 24966, 'infer_calls': 4068, 'fresh_rows': 24966, 'hit_rows': 9497}
{'it': 39, 'wall': 239.8, 'records': 787, 'policy_loss': 3.65, 'value_loss': 0.0026, 'ep_len': 41.4, 'cache_hit_rate': 0.2581, 'cache_lookups': 41409, 'infer_rows': 30722, 'infer_calls': 4830, 'fresh_rows': 30722, 'hit_rows': 10687}
